station_id,station_name,rides_started,rides_ended,net_outflow,total_activity
TA1309000007,Franklin St & Monroe St,18045,20082,-2037,38127
13063,Sheridan Rd & Irving Park Rd,19161,18924,237,38085
CHI00626,Lincoln Park Conservatory,18739,19221,-482,37960
CHI00260,Wells St & Walton St,19477,18476,1001,37953
CHI00455,Clarendon Ave & Gordon Ter,18945,18905,40,37850
13050,State St & Kinzie St,18547,18981,-434,37528
CHI00383,Field Blvd & South Water St,19062,18459,603,37521
CHI00476,Broadway & Sheridan Rd,18788,18605,183,37393
15529,Mies van der Rohe Way & Chestnut St,18628,18711,-83,37339
CHI01744,St. Clair St & Erie St 1,17613,19537,-1924,37150
TA1307000062,Sedgwick St & Huron St,19643,17486,2157,37129
15530,Rush St & Superior St,18586,18514,72,37100
TA1309000023,Sheffield Ave & Wrightwood Ave,18460,18533,-73,36993
TA1309000033,Sheffield Ave & Webster Ave,18049,18755,-706,36804
CHI00447,LaSalle St & Jackson Blvd,17231,19375,-2144,36606
13379,Clarendon Ave & Gordon Ter,18303,18292,11,36595
CHI02196,Clinton St & Washington Blvd 2,18253,18298,-45,36551
CHI00298,Lakefront Trail & Bryn Mawr Ave,17727,18729,-1002,36456
CHI00765,Ellis Ave & 60th St,18244,18196,48,36440
TA1309000025,Halsted St & Roscoe St,18095,18339,-244,36434
TA1307000052,Sheffield Ave & Wellington Ave,18040,18388,-348,36428
CHI00274,Sheffield Ave & Wellington Ave,18099,18225,-126,36324
13033,Milwaukee Ave & Grand Ave,18802,17510,1292,36312
CHI01750,Milwaukee Ave & Grand Ave,18843,17450,1393,36293
13216,State St & 33rd St,17851,18400,-549,36251
CHI00368,Rush St & Superior St,18193,17957,236,36150
13276,Stockton Dr & Wrightwood Ave,17796,18342,-546,36138
RN-,Franklin St & Illinois St,18013,18082,-69,36095
CHI00406,Aberdeen St & Jackson Blvd,18573,17510,1063,36083
TA1309000035,Clark St & Winnemac Ave,17939,18139,-200,36078
CHI00537,Rush St & Cedar St,17914,17898,16,35812
TA1309000010,Wabash Ave & 9th St,17982,17819,163,35801
13277,Broadway & Belmont Ave,17409,18327,-918,35736
CHI00241,Sedgwick St & Huron St,18486,17118,1368,35604
CHI00238,Loomis St & Lexington St,18032,17437,595,35469
CHI00377,Clark St & Wellington Ave,17630,17781,-151,35411
CHI00522,Stockton Dr & Wrightwood Ave,17443,17915,-472,35358
CHI00402,Peoria St & Jackson Blvd,17945,17367,578,35312
CHI00257,Sedgwick St & North Ave,17714,17491,223,35205
13323,Broadway & Sheridan Rd,17514,17676,-162,35190
CHI00239,Broadway & Belmont Ave,17407,17762,-355,35169
CHI02022,Bissell St & Armitage Ave,17174,17990,-816,35164
CHI00310,Sheffield Ave & Waveland Ave,17096,17828,-732,34924
TA1307000136,Clark St & Wellington Ave,17222,17684,-462,34906
13338,Mies van der Rohe Way & Chicago Ave,17252,17623,-371,34875
CHI00521,Canal St & Jackson Blvd,17575,17240,335,34815
CHI02023,Sheffield Ave & Kingsbury St,17420,17342,78,34762
CHI00395,Clarendon Ave & Junior Ter,17287,17198,89,34485
13427,Cityfront Plaza Dr & Pioneer Ct,18142,16259,1883,34401
CHI00507,Sheffield Ave & Webster Ave,16873,17463,-590,34336
CHI00448,Wabash Ave & 9th St,17271,16952,319,34223
TA1307000107,Sheridan Rd & Montrose Ave,16935,17202,-267,34137
CHI00470,Mies van der Rohe Way & Chicago Ave,16929,17024,-95,33953
15539,Desplaines St & Jackson Blvd,17167,16752,415,33919
CHI01745,Franklin St & Chicago Ave,17873,15978,1895,33851
13192,Halsted St & Dickens Ave,16423,17417,-994,33840
CHI02057,Damen Ave & Pierce Ave,16677,17151,-474,33828
CHI00251,State St & Randolph St,17159,16581,578,33740
CHI00487,Sedgwick St & Webster Ave,16748,16882,-134,33630
CHI00405,Dearborn St & Madison St,16144,17469,-1325,33613
CHI00376,Franklin St & Lake St,16681,16854,-173,33535
TA1308000022,Pine Grove Ave & Irving Park Rd,16658,16623,35,33281
CHI00290,Sheridan Rd & Montrose Ave,16610,16499,111,33109
15534,Field Blvd & South Water St,16866,16194,672,33060
CHI00530,Clark St & Berwyn Ave,16439,16612,-173,33051
chargingstx1,Bissell St & Armitage Ave*,16073,16973,-900,33046
CHI00518,Desplaines St & Jackson Blvd,16853,16167,686,33020
LP-,Lincoln Park Conservatory,15888,17090,-1202,32978
13191,Sedgwick St & Webster Ave,16351,16558,-207,32909
TA1307000139,MLK Jr Dr & 29th St,16793,16013,780,32806
TA1307000131,Wabash Ave & Wacker Pl,16375,16424,-49,32799
TA1307000038,Sedgwick St & North Ave,16594,16134,460,32728
CHI01749,Field Museum,17866,14721,3145,32587
CHI00878,Morgan St & Lake St,16105,16446,-341,32551
CHI02054,Sheffield Ave & Addison St,15445,16991,-1546,32436
13154,Sheffield Ave & Kingsbury St,16136,16209,-73,32345
TA1306000026,Racine Ave & Fullerton Ave,15970,16124,-154,32094
13221,Wood St & Milwaukee Ave,15629,16459,-830,32088
CHI00236,Southport Ave & Wellington Ave,15900,16176,-276,32076
TA1309000002,Michigan Ave & Jackson Blvd,15801,16132,-331,31933
CHI00240,Dayton St & North Ave,15984,15942,42,31926
13138,Canal St & Jackson Blvd,15964,15906,58,31870
CHI00622,Milwaukee Ave & The 606,15944,15923,21,31867
TA1305000020,Ogden Ave & Chicago Ave,15968,15804,164,31772
chargingstx4,Morgan St & Lake St*,15532,16212,-680,31744
TA1305000030,Wells St & Randolph St,15790,15772,18,31562
15541.1.1,Buckingham Fountain,17353,14006,3347,31359
CHI00490,Kimbark Ave & 53rd St,15753,15530,223,31283
CHI00266,Wells St & Randolph St,15326,15932,-606,31258
CHI00544,Ritchie Ct & Banks St,15788,15466,322,31254
CHI00483,Cityfront Plaza Dr & Pioneer Ct,16551,14672,1879,31223
13028,900 W Harrison St,16125,15095,1030,31220
CHI00606,Wells St & Polk St,15886,15273,613,31159
CHI00394,Shore Dr & 55th St,15588,15509,79,31097
CHI00648,Franklin St & Illinois St,15691,15404,287,31095
TA1307000124,Michigan Ave & 14th St,15758,15242,516,31000
CHI00316,Damen Ave & Chicago Ave,15113,15737,-624,30850
CHI00351,Clark St & Chicago Ave,15674,15092,582,30766
18062,Aberdeen St & Randolph St,15173,15502,-329,30675
CHI00307,California Ave & Milwaukee Ave,15360,15315,45,30675
13058,Dayton St & North Ave,15159,15406,-247,30565
CHI00452,Michigan Ave & Jackson Blvd,15341,15223,118,30564
CHI00640,LaSalle Dr & Huron St,15550,14985,565,30535
13303,Clark St & Chicago Ave,15452,15043,409,30495
CHI00342,Michigan Ave & 14th St,15513,14964,549,30477
CHI00259,Elston Ave & Cortland St,15281,15147,134,30428
13017,Franklin St & Chicago Ave,15723,14638,1085,30361
CHI00419,McClurg Ct & Erie St,15244,15035,209,30279
CHI00327,Burling St & Diversey Pkwy,15024,15248,-224,30272
CHI00329,Wood St & Beach Ave,14803,15402,-599,30205
TA1306000011,Wells St & Walton St,16088,13937,2151,30025
TA1307000006,Southport Ave & Wellington Ave,15026,14937,89,29963
KA1503000015,Wabash Ave & Adams St,14862,15076,-214,29938
TA1308000009,Shore Dr & 55th St,14931,14869,62,29800
CHI00411,Racine Ave & Belmont Ave,14911,14882,29,29793
13074,Broadway & Wilson Ave,14786,14948,-162,29734
CHI00444,Clark St & North Ave,14681,14998,-317,29679
TA1307000127,Clark St & Grace St,14794,14814,-20,29608
TA1305000034,Honore St & Division St,14396,15136,-740,29532
15576,Lakefront Trail & Bryn Mawr Ave,14245,15078,-833,29323
13084,California Ave & Milwaukee Ave,14618,14699,-81,29317
TA1306000015,Sangamon St & Lake St,13784,15414,-1630,29198
CHI00378,Kedzie Ave & Milwaukee Ave,14499,14651,-152,29150
TA1306000014,Wilton Ave & Diversey Pkwy,14129,14937,-808,29066
SL-011,Wells St & Polk St,14801,14118,683,28919
