station_id,station_name,rides_started,rides_ended,net_outflow,total_activity
21386,Rockwell St & 57th St,126,127,-1,253
CHI01166,Racine Ave & Garfield Blvd,129,123,6,252
24324,Nagle Ave & Belmont Ave,102,150,-48,252
1280.0,Public Rack - Wilbur Wright College South,125,127,-2,252
CHI01907,Mulligan Ave & Archer Ave,110,142,-32,252
CHI01048,Seeley Ave & Garfield Blvd,110,141,-31,251
CHI01908,Avers Ave & 16th St,130,121,9,251
693,Public Rack - Walden Pkwy & 103rd St,120,130,-10,250
CHI02315,Public Rack - Sheffield Ave & Dickens Ave,120,129,-9,249
CHI02391,Arrington Lagoon,126,123,3,249
CHI01712,Public Rack - Keating & Peterson,121,127,-6,248
CHI02239,Public Rack - Hoyne Ave & Grand Ave,123,125,-2,248
CHI00969,Public Rack - Avers Ave & Irving Park Rd,122,126,-4,248
CHI00874,Meade Ave & Addison St,113,135,-22,248
CHI00753,Dauphin Ave & 103rd St,126,121,5,247
Corral 23,Daley Center Plaza Corral,211,36,175,247
CHI01200,Public Rack - Prairie Ave & 47th St,117,130,-13,247
777,Public Rack - Midway Orange Line,122,125,-3,247
CHI00693,Elizabeth St & 47th St,121,126,-5,247
20131,Cottage Grove Ave & 111th Pl,124,122,2,246
CHI01395,Public Rack - Campbell Ave & Pratt Blvd,118,128,-10,246
CHI00846,Halsted St & 73rd St,129,117,12,246
CHI00734,Halsted St & 59th St,130,116,14,246
Corral 22,Dearborn St & Adams St Corral,188,57,131,245
CHI01581,Public Rack - Milwaukee Ave & Higgins Ave,122,123,-1,245
569,Woodlawn Ave & 75th St,131,113,18,244
24146,Knox Ave & Marquette Ave,107,136,-29,243
21366,Spaulding Ave & 16th St,114,129,-15,243
23119,Francisco Ave & 85th St,120,122,-2,242
CHI01971,Vincennes Ave & 107th St,138,104,34,242
CHI01165,Damen Ave & 51st St,118,123,-5,241
CHI02046,SCOOTERS CLASSIC - 2132 W Hubbard ST,31,209,-178,240
CHI02304,Public Rack - Loomis St & Eleanor St,118,121,-3,239
24213,Kedzie Ave & Jackson Blvd,113,126,-13,239
CHI00802,Lawndale Ave & 111th St,120,118,2,238
1161.0,Public Rack - Kinzua Ave & Devon Ave,124,114,10,238
21418,Mozart St & Jackson Blvd,89,149,-60,238
21353,Meade Ave & Diversey Ave,111,126,-15,237
1019,Public Rack - Kostner Ave & Diversey Ave,116,121,-5,237
CHI01979,Nagle Ave & Belmont Ave,120,117,3,237
CHI01035,Public Rack - Kimbark Ave & 67th St,120,117,3,237
24196,Mango Ave & North Ave,93,143,-50,236
CHI00505,Burling St & Diversey Pkwy,116,119,-3,235
574,Vernon Ave & 79th St,108,127,-19,235
CHI01672,Public Rack - Mango & Higgins,115,120,-5,235
CHI02313,Public Rack - Sheffield Ave & Belden Ave,115,120,-5,235
424,Sacramento Ave & 25th St,137,97,40,234
CHI00872,Western Ave & 111th St,116,117,-1,233
CHI01839,Kedzie Ave & 38th Pl,109,124,-15,233
21303,Kildare Ave & Division St,116,117,-1,233
1110.0,Public Rack - Milwaukee Ave & Culyer Ave,112,121,-9,233
24273,Kedzie Ave & 60th St,100,133,-33,233
24205,Lamon Ave & Chicago Ave,115,118,-3,233
382,Kedzie Ave & 48th Pl,123,109,14,232
CHI01783,Marmora Ave & Belmont Ave (temporary),133,99,34,232
CHI01805,Columbus Ave & 79th St,113,118,-5,231
24234,Harding Ave & 31st St,115,116,-1,231
CHI01823,21st St & Pulaski Rd,132,99,33,231
561,Damen Ave & 59th St,108,123,-15,231
CHI02380,Theater on the Lake Public Rack - North,111,119,-8,230
CHI01978,Kildare Ave & Archer Ave,134,95,39,229
CHI01667,Public Rack - Nashotah & Northwest Hwy,102,127,-25,229
CHI02375,North Ave Public Rack - 5,113,115,-2,228
24174,Cicero Ave & Wellington Ave,120,108,12,228
CHI01017,Public Rack - Karlov Ave & Kamerling Ave,107,121,-14,228
CHI01761,Damen Ave & 87th St,127,100,27,227
CHI00677,Kostner Ave & Lake St,130,97,33,227
CHI02356,Washington/Green (Washington Side) Corral,103,124,-21,227
CHI01899,Wellington Ave & Mulligan Ave,104,122,-18,226
Corral 5,Weekend Night Parking Area D,112,114,-2,226
CHI02053,Granville Ave & Pulaski Rd,117,109,8,226
CHI01904,Mayfield Ave & Roosevelt Rd,100,126,-26,226
23128,Columbus Ave & 79th St,112,113,-1,225
21329,Central Park Ave & Douglas Blvd,110,115,-5,225
1120.0,Public Rack - Milwaukee Ave & Catalpa Ave,112,113,-1,225
21351,Wellington Ave & Mulligan Ave,113,112,1,225
CHI01960,Michigan Ave & 105th St,116,109,7,225
CHI01795,Kedzie Ave & Redfield Dr,111,114,-3,225
CHI00830,Stewart Ave & 83rd St,129,96,33,225
570,Evans Ave & 75th St,128,96,32,224
CHI01835,Homan Ave & Arthington Ave,144,80,64,224
CHI00681,Ashland Ave & Garfield Blvd,114,110,4,224
CHI00803,Leamington Ave & Hirsch St,111,112,-1,223
CHI01872,Mango Ave & North Ave,113,109,4,222
1226.0,Public Rack - Avers & Lawrence,110,112,-2,222
CHI00835,Clyde Ave & 87th St,97,123,-26,220
CHI01969,Archer Ave & 49th St,115,105,10,220
21421,Albany Ave & Douglas Blvd,110,110,0,220
20101,Summit Ave & 86th St,127,93,34,220
CHI01838,Archer Ave & Homan Ave,108,112,-4,220
CHI01734,Public Rack - Hollywood Park,110,110,0,220
CHI01990,Ave L & 114th,106,113,-7,219
CHI01840,Meade Ave & Diversey Ave,110,109,1,219
CHI00859,Western Ave & 104th St,110,108,2,218
CHI02396,Burnham Shores,107,111,-4,218
CHI00747,Indiana Ave & 103rd St,110,108,2,218
CHI00725,Ellis Ave & 83rd St,112,106,6,218
950,Public Rack - Woodlawn Ave & 63rd St S,108,109,-1,217
422,Albany Ave & 16th St,127,89,38,216
1141.0,Public Rack - Holbrook St & Milwaukee Ave,110,105,5,215
24338,Wallace St & Pershing Rd,102,113,-11,215
CHI01859,Kildare Ave & 26th St,96,119,-23,215
584,Ellis Ave & 83rd St,112,103,9,215
770,Public Rack - Throop St & 58th St,110,105,5,215
CHI01821,Central Park Ave & Douglas Blvd,95,119,-24,214
20215,Hegewisch Metra Station,120,92,28,212
CHI02035,Grace/Sheffield,104,108,-4,212
21371,Kildare Ave & Chicago Ave,100,112,-12,212
CHI01098,Public Rack - Lawndale Ave & Diversey Ave,104,108,-4,212
KA1503000011,Halsted St & 56th St,96,115,-19,211
CHI02186,Albany Ave & 16th St,113,98,15,211
CHI01546,Francisco Ave & 85th St,102,108,-6,210
CHI00880,Constance Ave & 95th St,108,102,6,210
20228,Constance Ave & 95th St,94,116,-22,210
21320,Orange Ave & Addison St,113,95,18,208
23113,Scottsdale Park,92,116,-24,208
494,Public Rack - Avers Ave & Irving Park Rd,103,105,-2,208
CHI00711,Evans Ave & 75th St,98,110,-12,208
CHI02261,Hamlin Ave & Grand Ave,109,98,11,207
KA1503000028,Jeffery Blvd & 76th St,114,93,21,207
23117,Kedzie Ave & 83rd St,108,98,10,206
536,Kostner Ave & Lake St,105,101,4,206
Corral 10,Addison/Racine,102,103,-1,205
CHI00696,Throop St & 52nd St,99,106,-7,205
24246,Archer Ave & Homan Ave,82,123,-41,205
CHI00907,Albany Ave & 16th St,113,91,22,204
CHI00772,Vernon Ave & 107th St,102,102,0,204
CHI01847,Knox Ave & Marquette Ave,89,114,-25,203
CHI02049,Cottage Grove Ave & 71st St,111,91,20,202
20109,Vernon Ave & 107th St,104,97,7,201
CHI00865,Harlem Ave & Grace St,106,94,12,200
1155.0,Public Rack - Olmstead Ave & Oliphant Ave,98,102,-4,200
24267,Mozart St & 55th St,97,103,-6,200
576,Greenwood Ave & 79th St,105,95,10,200
20114,Doty Ave & 111th St,109,90,19,199
CHI01864,Cicero Ave & Wellington Ave,92,106,-14,198
21401,Kildare Ave & 47th St,92,105,-13,197
CHI02307,Public Rack - Clifton Ave & Webster Ave,95,101,-6,196
CHI01894,Kildare Ave & 47th St,113,83,30,196
572,State St & 76th St,95,100,-5,195
347,Komensky Ave & 55th St,130,64,66,194
24258,Kilbourn Ave & 49th St,64,130,-66,194
CHI01927,Spaulding Ave & 63rd,81,113,-32,194
649,Public Rack - Cottage Grove Ave & 92nd St,97,96,1,193
1224.0,Public Rack - Kilpatrick & Elston,94,99,-5,193
CHI00842,Cottage Grove Ave & 111th Pl,112,81,31,193
CHI00771,Eggleston Ave & 69th St,107,86,21,193
21403,Kildare Ave & 55th St,90,102,-12,192
562,Public Rack - Menard Ave & Belmont Ave,91,101,-10,192
21336,La Villita Park,93,99,-6,192
CHI01949,Ewing Ave & 98th St,91,101,-10,192
20112,Indiana Ave & 103rd St,93,98,-5,191
16951,Damen Ave & 74th St,88,103,-15,191
CHI00703,Damen Ave & 59th St,99,92,7,191
543,Laramie Ave & Gladys Ave,93,98,-5,191
CHI02225,Central Ave & Parker Ave,93,98,-5,191
21384,Kedzie Ave & 52nd St,101,89,12,190
CHI01573,Public Rack - Irving Park Rd & Leclaire Ave,93,97,-4,190
821,Public Rack - Western Blvd & 49th St,89,101,-12,190
23141,Artesian Ave & 71st St,92,97,-5,189
535,Pulaski Rd & Congress Pkwy,89,100,-11,189
CHI01227,Public Rack - Western Blvd & 49th St,95,94,1,189
314,Narragansett & Wrightwood,101,87,14,188
473,Mason Ave & Belmont Ave,117,71,46,188
480,Public Rack - Rockwell Ave & Touhy Ave,92,95,-3,187
CHI01924,Wentworth Ave & 92nd St,96,90,6,186
CHI01679,Public Rack - Kenneth & Carmen,87,99,-12,186
CHI02387,Maple Ave & Grove St,92,94,-2,186
24365,Mason Ave & Montrose Ave,82,103,-21,185
560,Marshfield Ave & 59th St,92,93,-1,185
20230,Clyde Ave & 87th St,100,85,15,185
CHI01803,Western Ave & 79th St,114,71,43,185
CHI01797,St. Louis Ave & 71st St,92,93,-1,185
CHI02395,Northwestern Main Campus,92,92,0,184
24297,Mulligan Ave & Archer Ave,74,110,-36,184
CHI01785,Kedzie Ave & 66th Pl,87,97,-10,184
CHI01873,Monitor Ave & Division St,87,97,-10,184
814,Public Rack - Prairie Ave & 47th St,94,89,5,183
813,Public Rack - Calumet Ave & 51st St,90,93,-3,183
24402,Ewing Ave & 106th St,89,94,-5,183
CHI00904,Troy St & Jackson Blvd,118,65,53,183
CHI00898,Homan Ave & Fillmore St,123,59,64,182
CHI01149,Keeler Ave & Roosevelt Rd,125,56,69,181
1212.0,Public Rack - Forest Glen & Peterson,90,91,-1,181
1113.0,Public Rack - Irving Park Rd & Leclaire Ave,91,90,1,181
389,Maplewood Ave & 59th St,110,71,39,181
CHI00682,Ashland Ave & 63rd St,102,79,23,181
20120,Stewart Ave & 83rd St,99,82,17,181
CHI00857,Halsted St & 78th St,87,93,-6,180
553,Elizabeth St & 47th St,82,98,-16,180
CHI01941,State St & 111th St,87,92,-5,179
KA1503000003,Cottage Grove Ave & 71st St,101,78,23,179
20110,Eberhart Ave & 91st St,89,89,0,178
CHI02197,Front Ave & 115th St,94,84,10,178
531,Public Rack - Penn Elementary School / KIPP Ascend Middle School,80,98,-18,178
CHI01973,Martin Luther King Dr & 87th St,105,73,32,178
CHI01544,Kedzie Ave & 83rd St,83,95,-12,178
CHI02238,Public Rack - Western Ave & Chicago Ave,87,90,-3,177
Corral 4,Weekend Night Parking Area C,94,83,11,177
CHI01585,Public Rack - Milwaukee Ave & Kennedy Expy,86,91,-5,177
16915,Central Ave & Harrison St,98,79,19,177
CHI01891,Panama Ave & Grace St,90,87,3,177
24368,Melvina Ave & Giddings Ave,82,95,-13,177
CHI02036,Clark/Racine,85,92,-7,177
CHI01961,Commercial Ave & 90th St,97,79,18,176
CHI02013,Komensky Ave & 31st St,108,68,40,176
23143,Kedzie Ave & 66th Pl,90,86,4,176
23131,Western Ave & 79th St,99,76,23,175
1125.0,Public Rack - Milwaukee Ave & Kennedy Expy,87,88,-1,175
CHI01921,Oconto Ave & Belmont Ave,87,88,-1,175
1134.0,Public Rack - Kimball Ave & Lawrence Ave,91,84,7,175
21307,Leamington Ave & Hirsch St,82,92,-10,174
495,Public Rack - Keystone Ave & Irving Park Rd,87,87,0,174
20239,Marquette Ave & 89th St,77,97,-20,174
CHI01735,Public Rack - Peterson Park,85,88,-3,173
24467,Cumberland Ave & Catherine Ave,89,84,5,173
474,Fullerton & Monitor,103,69,34,172
CHI02388,Evanston Civic Center,83,89,-6,172
CHI01300,Latrobe Ave & Chicago Ave,86,85,1,171
CHI00870,East End Ave & 87th St,93,78,15,171
CHI00760,Halsted St & 56th St,90,81,9,171
24230,Homan Ave & 26th St,86,84,2,170
CHI01819,Oketo Ave & Addison St,83,87,-4,170
20214,Avenue O & 134th St,76,94,-18,170
24499,Edgebrook Metra,90,80,10,170
20204,Kedzie Ave & 110th St,78,91,-13,169
CHI00724,Stony Island Ave & 82nd St,86,82,4,168
CHI01740,Public Rack - Forest Glen Station,81,87,-6,168
CHI02373,North Ave Public Rack - 3,83,85,-2,168
CHI02404,Lincoln Ave & Hutchinson St,84,83,1,167
21383,Campbell Ave & 51st St,87,80,7,167
CHI01327,Public Rack - Avondale Ave & Addison St,82,85,-3,167
CHI01691,Public Rack - Central Park & Peterson,72,94,-22,166
CHI01998,Pulaski Rd & 75th St,89,77,12,166
24393,Burley Ave & 85th St,87,79,8,166
CHI02254,Sacramento Ave & 25th St,87,79,8,166
1225.0,Public Rack - Kenneth & Carmen,82,84,-2,166
CHI01992,Burley Ave & 85th St,84,81,3,165
1119.0,Public Rack - Central Ave & Lawrence Ave,82,83,-1,165
CHI00799,Michigan Ave & 71st St,79,86,-7,165
23138,St. Louis & 71st St,89,75,14,164
21338,California Ave & 36th St,80,84,-4,164
CHI00875,Loomis Blvd & 84th St,72,91,-19,163
CHI01036,Public Rack - Lowell Ave & Elston Ave,80,83,-3,163
CHI01019,Public Rack - Milwaukee Ave & School St,82,81,1,163
23136,Kedzie Ave & 73rd St,75,87,-12,162
21340,Pulaski Rd & Ann Lurie Pl,81,79,2,160
CHI00948,Public Rack - Western Ave & Jarvis Ave,79,81,-2,160
1131.0,Public Rack - Springfield Ave & Lawrence Ave,80,80,0,160
752,Public Rack - Kimbark Ave & 63rd St,88,72,16,160
CHI00594,Central Ave & Harrison St,90,70,20,160
23170,Marmora Ave & Belmont Ave,96,64,32,160
343,Pulaski Rd & 51st St,92,67,25,159
CHI00706,Racine Ave & 65th St,71,88,-17,159
CHI02231,Oak Park Ave & Wellington Ave,72,87,-15,159
CHI01738,Public Rack - Nagel & Higgins,79,80,-1,159
557,Seeley Ave & Garfield Blvd,77,82,-5,159
21367,Mayfield Ave & Roosevelt Rd,81,78,3,159
1204.0,Public Rack - Leamington & Elston,80,79,1,159
21324,Meade Ave & Addison St,69,88,-19,157
577,Stony Island Ave & South Chicago Ave,76,81,-5,157
CHI01861,Kildare Ave & 55th St,85,72,13,157
20235,Greenwood Ave & 91st St,75,81,-6,156
CHI00984,Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,76,80,-4,156
CHI01467,Public Rack - Langley Ave & 49th St,71,85,-14,156
16913,Cicero Ave & Quincy St,77,79,-2,156
24374,State St & 45th St,69,86,-17,155
CHI00678,Kenton Ave & Madison St,83,70,13,153
CHI02343,Public Rack - Centennial Park North,76,77,-1,153
CHI01031,Greenwood Ave & 79th St,77,75,2,152
CHI02229,Long Ave & Belden Ave,73,79,-6,152
21375,Long Ave & North Ave,81,70,11,151
310,North Ave & New England Ave,82,69,13,151
CHI00941,Mason Ave & Belmont Ave,111,40,71,151
460,Francisco Ave & Hollywood Ave,71,80,-9,151
322,Cicero Ave & Grace St,86,65,21,151
20244,Halsted St & 73rd St,75,75,0,150
CHI01929,Halsted St & 93rd St,80,70,10,150
16943,Ashland Ave & Garfield Blvd,77,73,4,150
CHI00903,Western Ave & Lake St,81,69,12,150
CHI00968,Public Rack - St Louis Ave & Berteau Ave,74,76,-2,150
1199.0,Public Rack - Nagel & Higgins,73,77,-4,150
1203.0,Public Rack - Lavergne & Lawrence,75,74,1,149
CHI01939,Wentworth Ave & 107th St,88,61,27,149
CHI01762,Mango Ave & Diversey Ave,78,71,7,149
CHI01293,Public Rack - Evans Ave & 63rd St,72,77,-5,149
503,Public Rack - Jonathan Y Scammon Public School,66,82,-16,148
CHI00908,Sacramento Ave & 25th St,91,57,34,148
CHI01947,Baltimore Ave & 133rd St,77,71,6,148
20227,Bradley Park,74,74,0,148
CHI00293,Calumet Ave & 71st St,84,64,20,148
Corral 19,Franklin St & Monroe St Corral,100,47,53,147
593,Halsted St & 59th St,69,78,-9,147
CHI00543,Cicero Ave & Flournoy St,67,80,-13,147
CHI00886,Augusta Blvd & Laramie Ave,91,56,35,147
16912,Cicero Ave & Flournoy St,76,71,5,147
350,Hamlin Ave & 62nd Pl,95,52,43,147
25481,Hyacinth Ave & Milwaukee Ave,81,66,15,147
Corral 20,LaSalle St & Adams St Corral,100,46,54,146
CHI00730,South Chicago Ave & 83rd St,82,64,18,146
20245,Ashland Ave & 74th St,70,76,-6,146
CHI00591,Cicero Ave & Quincy St,76,70,6,146
CHI01770,Artesian Ave & 71st St,72,74,-2,146
402,Kenneth Ave & 50th St,81,65,16,146
CHI00909,Maplewood Ave & 59th St,86,59,27,145
CHI01846,Parkside Ave & Armitage Ave,82,63,19,145
Corral 9,Clark/Racine,71,74,-3,145
326,Harlem & Irving Park,81,64,17,145
20231,East End Ave & 87th St,72,73,-1,145
CHI01957,Eggleston Ave & 111th St,76,69,7,145
CHI01416,Public Rack - Woodlawn Ave & 63rd St S,71,73,-2,144
CHI01831,Kedzie Ave & Jackson Blvd,54,90,-36,144
CHI01012,Public Rack - Sawyer Ave & Lawrence Ave,70,74,-4,144
CHI02237,Public Rack - Maplewood Ave & Chicago Ave,84,60,24,144
753,Public Rack - Jeffery Blvd & 67th St,73,70,3,143
CHI01975,Kilbourn Ave & 49th St,59,84,-25,143
CHI01862,Tripp Ave & 31st St,69,74,-5,143
CHI00850,Stony Island Ave & 90th St,70,73,-3,143
CHI00710,Woodlawn Ave & 75th St,74,69,5,143
CHI01610,Public Rack - Bryn Mawr Ave & Spaulding Ave,68,74,-6,142
24340,Wabash Ave & 49th St,72,70,2,142
CHI01283,Public Rack - Greenwood Ave & Lake Park Ave,66,76,-10,142
CHI02195,Komensky Ave & 31st St,71,71,0,142
CHI01754,Scottsdale Park,77,65,12,142
487,Public Rack - California Ave & Devon Ave - NE,69,73,-4,142
CHI01579,Public Rack - Central Ave & Lawrence Ave,70,72,-2,142
CHI01032,Karlov Ave & Madison St,73,68,5,141
21327,Pittsburgh Ave & Irving Park Rd,73,68,5,141
23115,Pulaski Rd & 84th St,69,72,-3,141
21325,Harlem Ave & Grace St,84,57,27,141
861,Public Rack - Sawyer Ave & Lawrence Ave,69,72,-3,141
CHI01753,Pulaski Rd & 84th St,78,63,15,141
CHI01965,Racine Ave & 115th St,71,69,2,140
CHI00854,Yates Ave & 95th St,79,61,18,140
CHI01890,Sacramento Ave & 51st St,66,74,-8,140
24420,Michigan Ave & 105th St,75,65,10,140
CHI01793,Artesian Ave & Marquette Rd,70,70,0,140
1175.0,Public Rack - Hiawatha & Mendota,69,71,-2,140
CHI01671,Public Rack - Central & Leland,66,74,-8,140
CHI01217,Stewart Ave & 63rd St,81,58,23,139
CHI01096,Public Rack - Keystone Ave & North Ave,68,71,-3,139
CHI02010,Major Taylor Trail & 111th St,71,68,3,139
554,Damen Ave & 51st St,62,77,-15,139
CHI00856,Yates Blvd & 93rd St,82,57,25,139
20207,Major Taylor Trail & 115th St,72,66,6,138
CHI01465,Public Rack - Champlain Ave & 65th St,60,78,-18,138
810,Public Rack - Nagle Ave & Belmont Ave,64,74,-10,138
CHI01669,Public Rack - Avers & Lawrence,68,69,-1,137
CHI01030,State St & 76th St,69,68,1,137
CHI01931,Commercial Ave & 97th St,60,77,-17,137
Corral 13,Waveland/Racine,67,69,-2,136
1108.0,Public Rack - Cicero Ave & Belle Plaine Ave,65,71,-6,136
CHI02293,Public Rack - Orleans St & Chicago Ave,69,67,2,136
CHI00779,Doty Ave & 111th St,72,64,8,136
CHI01147,Public Rack - Kostner Ave & Armitage Ave,67,69,-2,136
385,St Louis Ave & Norman Bobbins Ave,76,60,16,136
582,Phillips Ave & 83rd St,63,73,-10,136
CHI00879,Greenwood Ave & 97th St,53,82,-29,135
750,Public Rack - Harper Ave & 63rd St,103,31,72,134
20234,Ashland Ave & 78th St,63,71,-8,134
362.0,Lawndale Ave & 16th St,68,66,2,134
CHI01976,Aberdeen St & 103rd St,65,69,-4,134
CHI02386,South Boulevard CTA,66,68,-2,134
CHI01807,Damen Ave & 77th St,59,74,-15,133
16948,Ashland Ave & 63rd St,80,53,27,133
CHI02005,Halsted St & 119th St,76,57,19,133
CHI01991,Ewing Ave & 97th St,70,63,7,133
CHI01582,Public Rack - Winona St & Elston Ave,66,67,-1,133
CHI01956,Laflin St & 115th St,68,65,3,133
583,Stony Island Ave & 82nd St,74,58,16,132
21368,Tripp Ave & 31st St,68,64,4,132
575,Cottage Grove Ave & 78th St,68,63,5,131
CHI01571,Public Rack - Lavergne Ave & Belle Plaine Ave,65,66,-1,131
342,Kedzie Ave & 45th St,91,40,51,131
CHI00889,Public Rack - Spaulding Ave & Bryn Mawr Ave,65,65,0,130
537,Kenton Ave & Madison St,73,57,16,130
CHI01112,Public Rack - California Ave & Pershing Rd,57,73,-16,130
20125,Halsted St & 104th St,58,71,-13,129
CHI01817,Mozart St & 79th St,68,60,8,128
CHI01968,Princeton Ave & 95th St,85,43,42,128
CHI02374,North Ave Public Rack - 4,61,67,-6,128
23126,Springfield Ave & 80th St,62,66,-4,128
24476,Farragut Ave & Central Ave,65,62,3,127
24199,Monitor Ave & Division St,59,68,-9,127
CHI00866,Homewood Ave & 115th St,69,58,11,127
CHI01999,Halsted St & 83rd St,73,54,19,127
CHI01550,Public Rack - Minuteman Park,60,67,-7,127
1123.0,Public Rack - Milwaukee Ave & Lawrence Ave,62,64,-2,126
CHI01974,Newcastle Ave & Irving Park Rd,87,39,48,126
CHI02201,Maplewood Ave & 59th St,59,67,-8,126
CHI00876,Hegewisch Metra Station,60,66,-6,126
CHI00820,W 103rd St & S Avers Ave,84,42,42,126
CHI00790,Eberhart Ave & 91st St,62,63,-1,125
CHI01018,Public Rack - Milwaukee Ave & Addison St,62,63,-1,125
20206,Homewood Ave & 115th St,57,68,-11,125
20115,Martin Luther King Dr & 111th St,89,35,54,124
1235.0,Public Rack - Lockwood & Archer,56,68,-12,124
CHI02300,Public Rack - Trebes Park,62,62,0,124
863,Public Rack - Karlov Ave & Milwaukee Ave,61,63,-2,124
24220,Homan Ave & Arthington Ave,59,65,-6,124
373,Augusta Blvd & Laramie Ave,77,46,31,123
24472,Elston Ave & Carmen Ave,62,61,1,123
1284.0,Public Rack - Forest Glen Station,59,64,-5,123
1277.0,Public Rack - Peterson Park,61,62,-1,123
CHI01813,Pulaski Rd & 68th St,57,66,-9,123
24225,Avers Ave & 16th St,64,59,5,123
1048,Public Rack - Western Ave & 47th Pl,61,62,-1,123
CHI01916,Hamilton Park,58,64,-6,122
404,Pulaski Rd & 60th St,86,36,50,122
23114,Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),63,59,4,122
CHI00729,Wabash Ave & 83rd St,68,53,15,121
CHI00862,Major Taylor Trail & 115th St,67,54,13,121
20241,Steelworkers Park,71,50,21,121
CHI01221,Public Rack - Western Ave & 92nd Pl,58,62,-4,120
CHI01934,Oriole Ave & Irving Park Rd,59,61,-2,120
CHI02344,Public Rack - Lighthouse Beach,60,60,0,120
CHI00851,Ewing Ave & Burnham Greenway,62,58,4,120
427,Whipple St & Roosevelt Rd,80,39,41,119
CHI00939,Damen Ave & 33rd St,68,51,17,119
319,Roscoe & Harlem,74,45,29,119
CHI00841,Torrence Ave & 126th Pl,75,44,31,119
CHI00935,Francisco Ave & Hollywood Ave,61,57,4,118
1202.0,Public Rack - Mango & Higgins,58,60,-2,118
1195.0,Public Rack - Nashotah & Northwest Hwy,54,64,-10,118
CHI00683,Ashland Ave & 66th St,57,60,-3,117
508,Public Rack - Pulaski Rd & Fullerton Ave,59,58,1,117
23122,Paulina Ave & 87th St,55,61,-6,116
CHI01433,Public Rack - Prairie Ave & Garfield Blvd N,43,73,-30,116
CHI01958,St Louis Ave & 51st St,61,54,7,115
CHI01970,Loomis St & 95th St,60,55,5,115
24398,Commercial Ave & 97th St,57,58,-1,115
587,Wabash Ave & 83rd St,67,48,19,115
20124,Vincennes Ave & 104th St,69,46,23,115
CHI00871,Marquette Ave & 89th St,56,58,-2,114
CHI00893,Kenneth Ave & 50th St,73,41,32,114
21349,Spaulding Ave & 63rd,52,62,-10,114
CHI00957,Ashland Ave & 78th St,50,63,-13,113
CHI00818,Kedzie Ave & 110th St,64,49,15,113
CHI01524,Public Rack - Washington Park Ct & 51st St,54,59,-5,113
702,Public Rack - Western Ave & 92nd Pl,56,57,-1,113
20118,Eggleston Ave & 92nd St,48,64,-16,112
21393,Oketo Ave & Addison St,52,60,-8,112
CHI01379,Public Rack - 532 E 43rd St,47,65,-18,112
1181.0,Public Rack - Delphina & Foster,56,55,1,111
1200.0,Public Rack - Melvina & Foster,55,56,-1,111
CHI02407,Ashland Ave & Addison St,53,57,-4,110
1192.0,Public Rack - Central & Leland,55,55,0,110
399,Lavergne Ave & 46th St,60,50,10,110
24375,Wabash Ave & 59th St,47,62,-15,109
CHI01080,Racine Ave & 57th St,55,54,1,109
CHI01966,Burley Ave & 91st St,71,38,33,109
647,Racine Ave & 57th St,49,60,-11,109
1111.0,Public Rack - Lavergne Ave & Belle Plaine Ave,54,55,-1,109
CHI00956,Halsted St & 111th St,55,54,1,109
24321,Oconto Ave & Belmont Ave,55,54,1,109
485,Public Rack - Sacramento Ave & Devon Ave,54,55,-1,109
CHI01632,Public Rack - Hiawatha & Mendota,50,59,-9,109
1011,Public Rack - Fullerton Ave & Narragansett Ave,53,55,-2,108
CHI01959,Throop St & 99th St,57,51,6,108
CHI01592,Public Rack - Lawrence Ave & Kimball Ave,51,57,-6,108
CHI02405,Ravenswood Ave & Roscoe St,51,56,-5,107
341,Archer Ave & 43rd St,62,45,17,107
CHI01917,Lamon Ave & 47th St,41,66,-25,107
CHI01482,Public Rack - Whipple St & 63rd St,51,56,-5,107
20113,Dauphin Ave & 103rd St,57,50,7,107
24459,Higgins Ave & Austin Ave,50,57,-7,107
CHI01662,Public Rack - Kilpatrick & Elston,53,53,0,106
493,Public Rack - St Louis Ave & Berteau Ave,51,55,-4,106
CHI00817,Martin Luther King Dr & 111th St,74,31,43,105
24250,Rockwell St & 47th St,63,42,21,105
909,Public Rack - Wolcott Ave & 61st St,55,50,5,105
501,Public Rack - Milwaukee Ave & School St,52,53,-1,105
CHI01253,Long Ave & Belden Ave,70,35,35,105
857,Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,51,54,-3,105
20217,Torrence Ave & 126th Pl,69,36,33,105
1112.0,Public Rack - Milwaukee Ave & Pensacola Ave,53,52,1,105
24200,Pine Ave & Division St,55,50,5,105
1070,Public Rack - Lawndale Ave & 23rd St,53,52,1,105
CHI00868,Avenue O & 118th St,48,56,-8,104
CHI01721,Public Rack - Pulaski & Ardmore,50,54,-4,104
20225,Commercial Ave & 100th St,53,51,2,104
CHI02214,New England Ave & North Ave,54,50,4,104
CHI02204,Hamlin Ave & 62nd Pl,50,54,-4,104
CHI01511,Public Rack - Garfield Park Conservatory,49,55,-6,104
CHI02213,Monitor Ave & Fullerton Ave,53,50,3,103
490,Public Rack - Kimball Ave & Carmen Ave,51,52,-1,103
16953,Vincennes Ave & 75th St,49,54,-5,103
24352,Vincennes Ave & 79th St,56,47,9,103
CHI00691,Bennett Ave & 79th St,53,49,4,102
